z psi1 psi2 psi3 psi4 psi5
-1.849349349349349581e+00 7.985056923812348032e+03 -1.463927377067768248e+04 1.885361658580204312e+04 1.992569608065914872e+04 1.767683226404020024e+04
-1.844344344344344577e+00 8.042498330542006443e+03 -1.472433519510442966e+04 1.891505107822821083e+04 1.990564392907261572e+04 1.752852090607368518e+04
-1.839339339339339574e+00 8.099860519574510363e+03 -1.480881648882748595e+04 1.897480878167877745e+04 1.988245472272011102e+04 1.737589328452431437e+04
-1.834334334334334349e+00 8.157142925898791873e+03 -1.489271432333036682e+04 1.903288439872906019e+04 1.985613211613349995e+04 1.721898698277108633e+04
-1.829329329329329346e+00 8.214344985289666511e+03 -1.497602539308461019e+04 1.908927278106870654e+04 1.982668025765684797e+04 1.705784063778518612e+04
-1.824324324324324342e+00 8.271466134313237490e+03 -1.505874641567974140e+04 1.914396892995773305e+04 1.979410378879226846e+04 1.689249393061561204e+04
-1.819319319319319339e+00 8.328505810332721012e+03 -1.514087413195310546e+04 1.919696799667031155e+04 1.975840784346912551e+04 1.672298757661859781e+04
-1.814314314314314336e+00 8.385463451513851396e+03 -1.522240530611801660e+04 1.924826528292426519e+04 1.971959804723459820e+04 1.654936331543147389e+04
-1.809309309309309333e+00 8.442338496830298027e+03 -1.530333672589105481e+04 1.929785624129731150e+04 1.967768051636685777e+04 1.637166390069438421e+04
-1.804304304304304329e+00 8.499130386069229644e+03 -1.538366520261866572e+04 1.934573647563024133e+04 1.963266185691123610e+04 1.618993308952258485e+04
-1.799299299299299326e+00 8.555838559837018693e+03 -1.546338757140315465e+04 1.939190174141708849e+04 1.958454916363958546e+04 1.600421563173199138e+04
-1.794294294294294323e+00 8.612462459564614619e+03 -1.554250069122713103e+04 1.943634794618108936e+04 1.953335001893186200e+04 1.581455725881959006e+04
-1.789289289289289320e+00 8.669001527513033579e+03 -1.562100144507722325e+04 1.947907114983741485e+04 1.947907249158110426e+04 1.562100467270236913e+04
-1.784284284284284317e+00 8.725455206778746287e+03 -1.569888674006672591e+04 1.952006756504224177e+04 1.942172513552163218e+04 1.542360553421719123e+04
-1.779279279279279313e+00 8.781822941299415106e+03 -1.577615350755788495e+04 1.955933355752905118e+04 1.936131698848151791e+04 1.522240845138508848e+04
-1.774274274274274310e+00 8.838104175859285533e+03 -1.585279870328265497e+04 1.959686564643060774e+04 1.929785757055806607e+04 1.501746296744176107e+04
-1.769269269269269307e+00 8.894298356094641349e+03 -1.592881930746262879e+04 1.963266050458750397e+04 1.923135688271750769e+04 1.480881954863793362e+04
-1.764264264264264304e+00 8.950404928499190646e+03 -1.600421232492786112e+04 1.966671495884294563e+04 1.916182540521865303e+04 1.459652957181228703e+04
-1.759259259259259300e+00 9.006423340429515520e+03 -1.607897478523489008e+04 1.969902599032404396e+04 1.908927409596128564e+04 1.438064531174030162e+04
-1.754254254254254297e+00 9.062353040110618167e+03 -1.615310374278394556e+04 1.972959073470963995e+04 1.901371438875943932e+04 1.416121992826217138e+04
-1.749249249249249294e+00 9.118193476641205052e+03 -1.622659627693471703e+04 1.975840648248390426e+04 1.893515819153915800e+04 1.393830745319234302e+04
-1.744244244244244291e+00 9.173944099999347600e+03 -1.629944949212189567e+04 1.978547067917706227e+04 1.885361788446236824e+04 1.371196277701500912e+04
-1.739239239239239287e+00 9.229604361047755447e+03 -1.637166051796894862e+04 1.981078092559150900e+04 1.876910631797543829e+04 1.348224163536747801e+04
-1.734234234234234284e+00 9.285173711539187934e+03 -1.644322650940123640e+04 1.983433497801449266e+04 1.868163681078408263e+04 1.324920059531572042e+04
-1.729229229229229281e+00 9.340651604121845594e+03 -1.651414464675808995e+04 1.985613074841701382e+04 1.859122314775432824e+04 1.301289704142515075e+04
-1.724224224224224278e+00 9.396037492344757993e+03 -1.658441213590389816e+04 1.987616630463890760e+04 1.849787957774005554e+04 1.277338916163012073e+04
-1.719219219219219275e+00 9.451330830663149754e+03 -1.665402620833816400e+04 1.989443987056009792e+04 1.840162081133741958e+04 1.253073593290556164e+04
-1.714214214214214271e+00 9.506531074443948455e+03 -1.672298412130481665e+04 1.991094982625834018e+04 1.830246201856678090e+04 1.228499710674454218e+04
-1.709209209209209268e+00 9.561637679971010584e+03 -1.679128315790004490e+04 1.992569470815250315e+04 1.820041882648168030e+04 1.203623319444473782e+04
-1.704204204204204265e+00 9.616650104450485742e+03 -1.685892062717933368e+04 1.993867320913237563e+04 1.809550731670610912e+04 1.178450545220798995e+04
-1.699199199199199262e+00 9.671567806016151735e+03 -1.692589386426348210e+04 1.994988417867448152e+04 1.798774402290007856e+04 1.152987586605644356e+04
-1.694194194194194258e+00 9.726390243734873366e+03 -1.699220023044380650e+04 1.995932662294431793e+04 1.787714592815418291e+04 1.127240713656909793e+04
-1.689189189189189255e+00 9.781116877611870223e+03 -1.705783711328601203e+04 1.996699970488438703e+04 1.776373046231306944e+04 1.101216266344221367e+04
-1.684184184184184252e+00 9.835747168596104530e+03 -1.712280192673320198e+04 1.997290274428846533e+04 1.764751549922861886e+04 1.074920652987767244e+04
-1.679179179179179249e+00 9.890280578585350668e+03 -1.718709211120739928e+04 1.997703521786148121e+04 1.752851935394270549e+04 1.048360348680274001e+04
-1.674174174174174246e+00 9.944716570431644868e+03 -1.725070513371062043e+04 1.997939675926614655e+04 1.740676077980106857e+04 1.021541893692581107e+04
-1.669169169169169242e+00 9.999054607946562101e+03 -1.731363848792466160e+04 1.997998715915546200e+04 1.728225896549784011e+04 9.944718918631464476e+03
-1.664164164164164239e+00 1.005329415590665303e+04 -1.737588969431009536e+04 1.997880636519153268e+04 1.715503353205172607e+04 9.671570089719196403e+03
-1.659159159159159236e+00 1.010743468005860450e+04 -1.743745630020380850e+04 1.997585448205004650e+04 1.702510452971365521e+04 9.396039710989321975e+03
-1.654154154154154233e+00 1.016147564712431631e+04 -1.749833587991528111e+04 1.997113177141055712e+04 1.689249243480655787e+04 9.118195629680336424e+03
-1.649149149149149229e+00 1.021541652480634366e+04 -1.755852603482249833e+04 1.996463865193371021e+04 1.675721814649875887e+04 8.838106262762255938e+03
-1.644144144144144226e+00 1.026925678179319766e+04 -1.761802439346656320e+04 1.995637569922424154e+04 1.661930298351040983e+04 8.555840580089503419e+03
-1.639139139139139223e+00 1.032299588776448218e+04 -1.767682861164493806e+04 1.994634364577973247e+04 1.647876868075357561e+04 8.271468087417515562e+03
-1.634134134134134220e+00 1.037663331339613796e+04 -1.773493637250387474e+04 1.993454338092574471e+04 1.633563738590694084e+04 7.985058809287515032e+03
-1.629129129129129216e+00 1.043016853036556859e+04 -1.779234538662950581e+04 1.992097595073677439e+04 1.618993165592526384e+04 7.696683271783423152e+03
-1.624124124124124213e+00 1.048360101135691548e+04 -1.784905339213820844e+04 1.990564255794371638e+04 1.604167445348462024e+04 7.406412485165435100e+03
